size,M,K,N,BK,time_ms,std_ms,gflops,shared_mem_bytes,threads,blocks
2048x2048x2048,2048,2048,2048,8,1.9229695796966553,0.005406044540149547,8934.030660386261,16640,128,256
2048x2048x2048,2048,2048,2048,16,1.9199967980384827,0.01380928378943413,8947.863455580442,33280,128,256
4096x4096x4096,4096,4096,4096,8,13.297561550140381,0.013220624699476675,10335.650860029225,16640,128,1024
4096x4096x4096,4096,4096,4096,16,12.38538236618042,0.029449339691118123,11096.868018164012,33280,128,1024
8192x8192x8192,8192,8192,8192,8,91.98192825317383,0.19279367957716223,11953.561407732952,16640,128,4096
8192x8192x8192,8192,8192,8192,16,90.93304290771485,0.07763800723428176,12091.44214927307,33280,128,4096
16384x16384x16384,16384,16384,16384,8,728.9410522460937,1.5850959665784479,12066.946970683715,16640,128,16384
16384x16384x16384,16384,16384,16384,16,717.4333435058594,0.852476257706938,12260.502110515805,33280,128,16384
